Battle,Turn,Player_HP,Agent_HP
1,1,67,61
1,2,62,48
1,3,58,48
1,4,45,37
1,5,30,23
1,6,20,23
1,7,26,23
1,8,11,15
1,9,3,7
1,10,13,17
1,11,20,17
1,12,20,17
1,13,24,17
1,14,22,17
1,15,32,27
1,16,32,27
1,17,32,27
1,18,30,27
1,19,30,26
1,20,30,28
1,21,18,12
1,22,25,12
1,23,25,-8
2,1,75,71
2,2,62,67
2,3,72,75
2,4,75,75
2,5,60,71
2,6,49,56
2,7,45,43
2,8,45,37
2,9,45,32
2,10,30,16
2,11,18,1
2,12,17,1
2,13,27,11
2,14,17,5
2,15,17,-9
3,1,55,63
3,2,50,52
3,3,38,42
3,4,34,34
3,5,28,24
3,6,25,9
3,7,25,-1
4,1,73,70
4,2,63,54
4,3,50,46
4,4,54,46
4,5,51,36
4,6,51,42
4,7,49,32
4,8,34,18
4,9,31,7
4,10,31,-3
5,1,60,62
5,2,45,49
5,3,41,37
5,4,31,31
5,5,16,21
5,6,16,23
5,7,-9,12
6,1,69,69
6,2,57,56
6,3,53,36
6,4,47,24
6,5,43,19
6,6,38,11
6,7,26,5
6,8,26,-20
7,1,72,62
7,2,60,50
7,3,60,46
7,4,48,36
7,5,48,36
7,6,58,46
7,7,54,46
7,8,44,26
7,9,42,26
7,10,32,13
7,11,29,7
7,12,24,7
7,13,29,7
7,14,29,-6
8,1,61,60
8,2,51,47
8,3,41,39
8,4,51,49
8,5,47,40
8,6,34,28
8,7,22,13
8,8,22,-3
9,1,61,66
9,2,57,52
9,3,62,52
9,4,52,39
9,5,62,49
9,6,62,49
9,7,62,39
9,8,62,37
9,9,62,37
9,10,62,39
9,11,62,41
9,12,62,36
9,13,62,30
9,14,62,26
9,15,47,26
9,16,47,23
9,17,47,30
9,18,37,10
9,19,37,-5
10,1,75,73
10,2,75,68
10,3,61,53
10,4,55,28
10,5,52,16
10,6,50,6
10,7,50,-7
11,1,71,65
11,2,66,57
11,3,66,52
11,4,61,36
11,5,57,16
11,6,54,6
11,7,54,12
11,8,54,-4
12,1,66,75
12,2,57,55
12,3,63,55
12,4,53,46
12,5,48,44
12,6,46,34
12,7,30,31
12,8,36,31
12,9,36,27
12,10,32,12
12,11,30,2
12,12,30,-11
13,1,69,65
13,2,73,65
13,3,71,57
13,4,68,47
13,5,68,42
13,6,65,22
13,7,63,12
13,8,43,1
13,9,43,-14
14,1,61,65
14,2,55,45
14,3,55,40
14,4,30,32
14,5,17,17
14,6,17,16
14,7,12,16
14,8,9,16
14,9,-2,1
15,1,64,60
15,2,56,35
15,3,56,32
15,4,52,18
15,5,37,5
15,6,37,-11
16,1,61,60
16,2,61,58
16,3,61,57
16,4,61,56
16,5,61,51
16,6,61,48
16,7,61,48
16,8,61,43
