Metric,Value
experiment_name,SARSA+DDA(30-70)
total_battles,3000
player_wins,1802
agent_wins,1198
draws,0
player_win_rate,60.06666666666667
agent_win_rate,39.93333333333333
player_action_counts,"Counter({2: 11431, 1: 10374, 3: 8680, 0: 1257})"
agent_action_counts,"Counter({1: 10644, 2: 9138, 3: 5903, 0: 3057})"
avg_battle_length,10.580666666666668
